OrderDate,Region,Product,Category,Units,UnitPrice
2026-10-15,Southeast,Starfall Anthology,Games,7,44.00
2026-10-16,Northeast,Plasma Cartridge,Accessories,4,34.50
2026-10-18,Southeast,Holo Visor Mk II,Hardware,6,415.00
2026-10-18,Northwest,Holo Visor Mk II,Hardware,29,415.00
2026-10-18,Northeast,Neon Drift Cabinet,Hardware,6,1249.00
2026-10-19,Southeast,Vector Blaster Pad,Accessories,14,59.95
2026-10-21,Southeast,Neon Drift Cabinet,Hardware,13,1249.00
2026-10-22,Northwest,Midnight Circuit,Games,34,54.50
2026-10-23,Southwest,Starfall Anthology,Games,10,44.00
2026-10-24,Southwest,Quantum Save Stick,Accessories,12,22.75
2026-10-24,Northeast,Holo Visor Mk II,Hardware,3,415.00
2026-10-24,Northeast,Plasma Cartridge,Accessories,15,34.50
2026-10-26,Southeast,Midnight Circuit,Games,11,54.50
2026-10-27,Northeast,Chrono Loop Deck,Hardware,5,689.00
2026-10-28,Southwest,Vector Blaster Pad,Accessories,11,59.95
2026-10-28,Southwest,Retro Rewind Vol. 3,Games,7,29.99
2026-10-28,Northeast,Vector Blaster Pad,Accessories,5,59.95
2026-10-31,Southeast,Starfall Anthology,Games,17,44.00
2026-11-01,Northeast,Plasma Cartridge,Accessories,5,34.50
2026-11-01,Southwest,Chrono Loop Deck,Hardware,10,689.00
2026-11-01,Southwest,Midnight Circuit,Games,17,54.50
2026-11-02,Southwest,Chrono Loop Deck,Hardware,11,689.00
2026-11-02,Southwest,Retro Rewind Vol. 3,Games,1,29.99
2026-11-03,Northwest,Retro Rewind Vol. 3,Games,22,29.99
2026-11-05,Southeast,Neon Drift Cabinet,Hardware,6,1249.00
2026-11-05,Northeast,Neon Drift Cabinet,Hardware,2,1249.00
2026-11-05,Northwest,Chrono Loop Deck,Hardware,17,689.00
2026-11-06,Southeast,Plasma Cartridge,Accessories,9,34.50
2026-11-07,Southeast,Midnight Circuit,Games,14,54.50
2026-11-07,Northwest,Chrono Loop Deck,Hardware,29,689.00
2026-11-07,Northwest,Neon Drift Cabinet,Hardware,34,1249.00
2026-11-07,Northwest,Plasma Cartridge,Accessories,34,34.50
2026-11-08,Southwest,Retro Rewind Vol. 3,Games,11,29.99
2026-11-09,Northwest,Plasma Cartridge,Accessories,22,34.50
2026-11-10,Northeast,Chrono Loop Deck,Hardware,10,689.00
2026-11-10,Northeast,Vector Blaster Pad,Accessories,15,59.95
2026-11-11,Northwest,Quantum Save Stick,Accessories,14,22.75
2026-11-12,Northwest,Chrono Loop Deck,Hardware,24,689.00
2026-11-12,Northwest,Vector Blaster Pad,Accessories,34,59.95
2026-11-13,Southeast,Retro Rewind Vol. 3,Games,2,29.99
2026-11-13,Northeast,Quantum Save Stick,Accessories,3,22.75
2026-11-14,Southwest,Arcade Token Pack,Accessories,15,12.00
2026-11-16,Southeast,Starfall Anthology,Games,12,44.00
2026-11-16,Southwest,Starfall Anthology,Games,15,44.00
2026-11-17,Southeast,Vector Blaster Pad,Accessories,7,59.95
2026-11-17,Northwest,Starfall Anthology,Games,31,44.00
2026-11-17,Southeast,Midnight Circuit,Games,4,54.50
2026-11-17,Southwest,Vector Blaster Pad,Accessories,16,59.95
2026-11-17,Southwest,Retro Rewind Vol. 3,Games,16,29.99
2026-11-19,Southeast,Starfall Anthology,Games,15,44.00
2026-11-20,Northwest,Quantum Save Stick,Accessories,12,22.75
2026-11-21,Northeast,Midnight Circuit,Games,8,54.50
2026-11-21,Southwest,Vector Blaster Pad,Accessories,17,59.95
2026-11-22,Northwest,Arcade Token Pack,Accessories,26,12.00
2026-11-23,Northwest,Holo Visor Mk II,Hardware,7,415.00
2026-11-24,Southeast,Plasma Cartridge,Accessories,7,34.50
2026-11-24,Northeast,Starfall Anthology,Games,5,44.00
2026-11-24,Northeast,Retro Rewind Vol. 3,Games,10,29.99
2026-11-24,Southeast,Arcade Token Pack,Accessories,4,12.00
2026-11-25,Southeast,Midnight Circuit,Games,15,54.50
2026-11-25,Southwest,Quantum Save Stick,Accessories,13,22.75
2026-11-25,Southeast,Quantum Save Stick,Accessories,17,22.75
2026-11-26,Southeast,Quantum Save Stick,Accessories,14,22.75
2026-11-26,Southeast,Plasma Cartridge,Accessories,11,34.50
2026-11-29,Southwest,Chrono Loop Deck,Hardware,10,689.00
2026-11-30,Southwest,Vector Blaster Pad,Accessories,12,59.95
2026-11-30,Northeast,Starfall Anthology,Games,7,44.00
2026-12-01,Southeast,Vector Blaster Pad,Accessories,7,59.95
2026-12-01,Southeast,Starfall Anthology,Games,4,44.00
2026-12-02,Northwest,Midnight Circuit,Games,2,54.50
2026-12-02,Northeast,Midnight Circuit,Games,1,54.50
2026-12-03,Northeast,Vector Blaster Pad,Accessories,12,59.95
2026-12-04,Northwest,Starfall Anthology,Games,10,44.00
2026-12-05,Northwest,Plasma Cartridge,Accessories,12,34.50
2026-12-07,Southwest,Starfall Anthology,Games,11,44.00
2026-12-07,Southwest,Starfall Anthology,Games,5,44.00
2026-12-08,Southwest,Chrono Loop Deck,Hardware,13,689.00
2026-12-10,Northwest,Chrono Loop Deck,Hardware,7,689.00
2026-12-10,Southwest,Retro Rewind Vol. 3,Games,2,29.99
2026-12-10,Northwest,Quantum Save Stick,Accessories,31,22.75
2026-12-10,Southeast,Starfall Anthology,Games,2,44.00
2026-12-12,Southwest,Neon Drift Cabinet,Hardware,2,1249.00
2026-12-12,Northwest,Holo Visor Mk II,Hardware,26,415.00
2026-12-14,Northwest,Arcade Token Pack,Accessories,10,12.00
2026-12-14,Southwest,Quantum Save Stick,Accessories,4,22.75
2026-12-14,Northeast,Arcade Token Pack,Accessories,6,12.00
2026-12-14,Northeast,Quantum Save Stick,Accessories,13,22.75
2026-12-14,Northeast,Quantum Save Stick,Accessories,-2,22.75
2026-12-15,Southwest,Holo Visor Mk II,Hardware,6,415.00
2026-12-15,Southeast,Starfall Anthology,Games,8,44.00
2026-12-16,Northeast,Retro Rewind Vol. 3,Games,10,29.99
2026-12-16,Northwest,Midnight Circuit,Games,-2,54.50
2026-12-17,Northeast,Neon Drift Cabinet,Hardware,15,1249.00
2026-12-17,Northeast,Vector Blaster Pad,Accessories,1,59.95
2026-12-18,Southwest,Plasma Cartridge,Accessories,4,34.50
2026-12-18,Southwest,Retro Rewind Vol. 3,Games,9,29.99
2026-12-21,Northwest,Vector Blaster Pad,Accessories,12,59.95
2026-12-21,Northeast,Plasma Cartridge,Accessories,2,34.50
2026-12-21,Northwest,Holo Visor Mk II,Hardware,29,415.00
2026-12-22,Northwest,Starfall Anthology,Games,2,44.00
2026-12-22,Southeast,Starfall Anthology,Games,15,44.00
2026-12-23,Northeast,Quantum Save Stick,Accessories,9,22.75
2026-12-24,Northwest,Holo Visor Mk II,Hardware,34,415.00
2026-12-24,Northeast,Midnight Circuit,Games,2,54.50
2026-12-24,Southwest,Quantum Save Stick,Accessories,9,22.75
2026-12-25,Southeast,Arcade Token Pack,Accessories,14,12.00
2026-12-25,Northeast,Vector Blaster Pad,Accessories,1,59.95
2026-12-26,Northwest,Quantum Save Stick,Accessories,34,22.75
2026-12-27,Northeast,Vector Blaster Pad,Accessories,5,59.95
2026-12-27,Southwest,Quantum Save Stick,Accessories,7,22.75
2026-12-27,Northeast,Quantum Save Stick,Accessories,5,22.75
2026-12-28,Northwest,Starfall Anthology,Games,26,44.00
2026-12-29,Southeast,Retro Rewind Vol. 3,Games,7,29.99
2026-12-29,Southeast,Starfall Anthology,Games,1,44.00
2026-12-29,Northeast,Neon Drift Cabinet,Hardware,-3,1249.00
2026-12-30,Southwest,Chrono Loop Deck,Hardware,10,689.00
2026-12-30,Northeast,Quantum Save Stick,Accessories,2,22.75
2026-12-30,Northwest,Plasma Cartridge,Accessories,10,34.50
2026-12-30,Northeast,Arcade Token Pack,Accessories,6,12.00
