Name,District,City,Facility Type,Description,Phone Number,Image URL,Opening Hours,Website,Capacity,Is Accessible,Latitude,Longitude
Johnathan Jona-than Senior Centre,North,Greenfield,Access Point,"Offers fitness classes with youth programs and emergency services year-round. Known for a welcoming lobby, senior wellness, and extended evening hours.",+1 555-8740,http://zava.example/assets/facilities/johnathan-jona-than-senior-centre.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/johnathan-jona-than-senior-centre,438,No,43.68972,-79.49895
Darryl Darelle Sports Complex,South,Parkview,Recreation Centre,"Offers language classes with emergency services and senior wellness year-round. Known for a welcoming lobby, youth programs, and open weekends.",+1 555-7878,http://zava.example/assets/facilities/darryl-darelle-sports-complex.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/darryl-darelle-sports-complex,82,Yes,43.767338,-79.400034
Jona-than Joe Family Hub,Central,Bayview,Senior Centre,"Offers meeting rooms with senior wellness and free parking year-round. Known for outdoor green space, arts workshops, and free parking.",+1 555-9576,http://zava.example/assets/facilities/jona-than-joe-family-hub.jpg,Daily 9:00-17:00,http://zava.example/facilities/jona-than-joe-family-hub,84,Yes,43.678091,-79.405973
The Daren Senior Centre,West,Riverton,Civic Office,"Offers fitness classes with free parking and emergency services year-round. Known for accessible entrances, youth programs, and easy transit access.",+1 555-6546,http://zava.example/assets/facilities/the-daren-senior-centre.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/the-daren-senior-centre,475,No,43.796164,-79.404294
Darel Access Point,West,Birchwood,Civic Office,"Offers food pantry referrals with senior wellness and youth programs year-round. Known for a small café, free parking, and on-site volunteers.",+1 555-9897,http://zava.example/assets/facilities/darel-access-point.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/darel-access-point,179,Yes,43.750658,-79.461779
Jonathon Community Centre,West,Riverton,Recreation Centre,"Offers food pantry referrals with open weekends and arts workshops year-round. Known for a maker space, free parking, and on-site volunteers.",+1 555-9151,http://zava.example/assets/facilities/jonathon-community-centre.jpg,Daily 9:00-17:00,http://zava.example/facilities/jonathon-community-centre,458,No,43.76023,-79.354584
Darryl Sports Complex,West,Elmwood,Community Hub,"Offers meeting rooms with emergency services and arts workshops year-round. Known for family-friendly seating, free parking, and extended evening hours.",+1 555-8325,http://zava.example/assets/facilities/darryl-sports-complex.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/darryl-sports-complex,422,No,43.72297,-79.413012
Daren Community Center,North,Parkview,Library Branch,"Offers recreation leagues with youth programs and senior wellness year-round. Known for a maker space, emergency services, and free parking.",+1 555-4866,http://zava.example/assets/facilities/daren-community-center.jpg,Daily 9:00-17:00,http://zava.example/facilities/daren-community-center,235,No,43.789893,-79.493523
Darell Senior Centre,South,Canyon,Senior Centre,"Offers local history archive with arts workshops and emergency services year-round. Known for a multi-purpose gym, free parking, and free parking.",+1 555-4048,http://zava.example/assets/facilities/darell-senior-centre.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/darell-senior-centre,315,No,43.782709,-79.476448
Jonny Nathan Neighbourhood Hall,Downtown,Crestwood,Civic Office,"Offers recreation leagues with senior wellness and youth programs year-round. Known for family-friendly seating, arts workshops, and free parking.",+1 555-6236,http://zava.example/assets/facilities/jonny-nathan-neighbourhood-hall.jpg,Daily 9:00-17:00,http://zava.example/facilities/jonny-nathan-neighbourhood-hall,413,Yes,43.709999,-79.441928
Darelly Learning Annex,East,Riverton,Senior Centre,"Offers fitness classes with youth programs and senior wellness year-round. Known for family-friendly seating, arts workshops, and free parking.",+1 555-6912,http://zava.example/assets/facilities/darelly-learning-annex.jpg,Daily 9:00-17:00,http://zava.example/facilities/darelly-learning-annex,289,Yes,43.72239,-79.482757
Darelly Learning Annex #1,Central,Silverlake,Access Point,"Offers recreation leagues with emergency services and youth programs year-round. Known for outdoor green space, open weekends, and easy transit access.",+1 555-6644,http://zava.example/assets/facilities/darelly-learning-annex-1.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/darelly-learning-annex-1,499,Yes,43.753556,-79.474193
Joe Nathan Community Centre,North,Canyon,Civic Office,"Offers language classes with open weekends and senior wellness year-round. Known for a multi-purpose gym, emergency services, and extended evening hours.",+1 555-4216,http://zava.example/assets/facilities/joe-nathan-community-centre.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/joe-nathan-community-centre,114,No,43.722886,-79.481314
Daren Johanathan Civic Office,South,Riverton,Senior Centre,"Offers permit services with youth programs and open weekends year-round. Known for outdoor green space, arts workshops, and open weekends.",+1 555-7825,http://zava.example/assets/facilities/daren-johanathan-civic-office.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/daren-johanathan-civic-office,304,No,43.728381,-79.439581
Darelle Wellness Pavilion,Downtown,Bayview,Civic Office,"Offers after-school tutoring with arts workshops and open weekends year-round. Known for accessible entrances, free parking, and easy transit access.",+1 555-3353,http://zava.example/assets/facilities/darelle-wellness-pavilion.jpg,Daily 9:00-17:00,http://zava.example/facilities/darelle-wellness-pavilion,491,No,43.74684,-79.327845
Jonatan Jonathon Service Desk,Central,Elmwood,Community Hub,"Offers permit services with senior wellness and open weekends year-round. Known for private consultation rooms, youth programs, and on-site volunteers.",+1 555-7850,http://zava.example/assets/facilities/jonatan-jonathon-service-desk.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/jonatan-jonathon-service-desk,493,Yes,43.762696,-79.31325
Jonty Resource Center,Central,Crestwood,Community Hub,"Offers recreation leagues with youth programs and open weekends year-round. Known for a staffed information desk, arts workshops, and open weekends.",+1 555-6781,http://zava.example/assets/facilities/jonty-resource-center.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/jonty-resource-center,75,No,43.698979,-79.323532
Daren Recreation Centre,Central,Canyon,Community Hub,"Offers quiet study zones with arts workshops and emergency services year-round. Known for a welcoming lobby, youth programs, and easy transit access.",+1 555-4189,http://zava.example/assets/facilities/daren-recreation-centre.jpg,Daily 9:00-17:00,http://zava.example/facilities/daren-recreation-centre,333,No,43.614706,-79.399149
Jonny Nathan Sports Complex,West,Canyon,Access Point,"Offers fitness classes with emergency services and open weekends year-round. Known for a staffed information desk, free parking, and easy transit access.",+1 555-9341,http://zava.example/assets/facilities/jonny-nathan-sports-complex.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/jonny-nathan-sports-complex,306,Yes,43.609061,-79.472593
Jonathan Service Desk,South,Canyon,Community Hub,"Offers food pantry referrals with senior wellness and arts workshops year-round. Known for a small café, emergency services, and easy transit access.",+1 555-9721,http://zava.example/assets/facilities/jonathan-service-desk.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/jonathan-service-desk,412,No,43.694979,-79.496673
Jonathan Library Branch,Downtown,Rosemont,Access Point,"Offers permit services with emergency services and free parking year-round. Known for a large auditorium, senior wellness, and on-site volunteers.",+1 555-3793,http://zava.example/assets/facilities/jonathan-library-branch.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/jonathan-library-branch,125,Yes,43.606314,-79.310359
Darrol Jon Senior Centre,East,Hillcrest,Senior Centre,"Offers after-school tutoring with open weekends and youth programs year-round. Known for a small café, senior wellness, and extended evening hours.",+1 555-8837,http://zava.example/assets/facilities/darrol-jon-senior-centre.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/darrol-jon-senior-centre,210,Yes,43.691933,-79.393375
Jona-than Resource Centre,Downtown,Birchwood,Senior Centre,"Offers language classes with senior wellness and open weekends year-round. Known for a staffed information desk, emergency services, and extended evening hours.",+1 555-5735,http://zava.example/assets/facilities/jona-than-resource-centre.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/jona-than-resource-centre,403,No,43.663408,-79.430239
Darryl Jon Learning Annex,Downtown,Parkview,Recreation Centre,"Offers permit services with emergency services and senior wellness year-round. Known for private consultation rooms, open weekends, and free parking.",+1 555-6674,http://zava.example/assets/facilities/darryl-jon-learning-annex.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/darryl-jon-learning-annex,385,No,43.749468,-79.457203
